Security 1  - Optimal Weights
Date,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Sum of Weights
2005-01-31,0.22777934908709152,-0.5588299611526608,-0.08201428050905299,1.0939923244415777,-0.10439092055966684,0.05322696128576517,0.3014462784078591,0.0029328766433231743,0.017280031137233105,0.04857734121853084,1.0
2005-02-28,0.23736124002952994,-0.6417129669111804,-0.0990345866495978,1.1746715086679147,-0.09538534782214422,0.04848072164116728,0.3010274992242941,0.0023610104783722136,0.015027221731836394,0.05720369960980758,0.9999999999999998
2005-03-31,0.2513272825083592,-0.22784828698148482,-0.12617016960141805,0.8049650054268329,-0.09684380705358306,0.044788703145875845,0.23604863381567004,0.04117906775744033,0.01870474952037352,0.05384882146193421,0.9999999999999999
2005-04-30,0.2270185576561838,-0.12940971570102214,-0.12858137043399634,0.7271015421541743,-0.10403276264597765,0.04584951513766054,0.2613373027091601,0.027905915413314074,0.014714370968935735,0.058096644741567394,0.9999999999999999
2005-05-31,0.22705736915696967,-0.1528048085202395,-0.12473645894382356,0.7457282978837342,-0.10448454789417931,0.045717828980441674,0.2609617000437941,0.028818423672202418,0.014973274605610983,0.05876892101548949,1.0
2005-06-30,0.2301430860444845,-0.20851090349331508,-0.11515070941164145,0.7843256607898942,-0.10450102453308624,0.04505709495406347,0.2642626675137864,0.02938403261329658,0.016775209397880225,0.05821488612463756,1.0000000000000002
2005-07-31,0.24841452645351375,-0.19677554656393342,-0.09956645852983122,0.7224824094998175,-0.09604957042410853,0.04119396478092124,0.24707272734139882,0.054636733924580176,0.02223993255819148,0.05635128095945029,0.9999999999999999
2005-08-31,0.24984156117734854,-0.17385563659525244,-0.10493300710007149,0.6999524626511707,-0.09046392589278492,0.045037944498698496,0.2533055552891286,0.04709728471780225,0.019812949034616775,0.05420481221934354,1.0
2005-09-30,0.22957296926640944,0.205202781595322,-0.15525121176763948,0.40135061643296044,-0.0735595896048102,0.026333786328520695,0.25522519578930036,0.04181674163071608,0.01105447748986919,0.058254232839351536,1.0
2005-10-31,0.23373464337448682,0.13579572681299407,-0.14067782375108573,0.45287637993532803,-0.07740528700822864,0.02678953273037247,0.2526155245024002,0.04610094242599524,0.013993121926327923,0.05617723905140962,1.0
2005-11-30,0.22578317867649952,0.1606012675318515,-0.14842005670256175,0.458978312535015,-0.08500855372593072,0.026660500624417896,0.25527540860175874,0.037919864196995806,0.014565211736386445,0.05364486652556768,1.0
2005-12-31,0.22892110769300666,0.1188402663699771,-0.14168442124809733,0.48191767999927704,-0.08647132507363041,0.026187492194887713,0.2547198839607656,0.044847081156047956,0.015862112586935737,0.056860122360829886,1.0
2006-01-31,0.23524559924372102,0.15855859614069803,-0.12348610298389216,0.4312225641369571,-0.07455862756136017,0.029806885649433908,0.24456501987808046,0.03567866901415708,0.015815828525906607,0.047151567956298115,1.0
2006-02-28,0.27261140501953457,-0.09459328387644206,-0.11075332029495642,0.5452153029939698,-0.03638914229618852,0.03361225721938848,0.2468873181588277,0.06981106258945752,0.01708462466363653,0.0565137758227724,1.0
2006-03-31,0.2721585485987111,-0.09480136909523434,-0.11149327832909393,0.5478706047744001,-0.036516086507364987,0.03253898237157061,0.24719774022259886,0.0686634125324255,0.016496123964303756,0.057885321467683375,0.9999999999999999
2006-04-30,0.27654038695096766,-0.0854319967196035,-0.1306632255320459,0.5716315442726411,-0.029725092101493537,0.035824019617396126,0.2515483608896876,0.044205373223134455,0.012931311332259074,0.0531393180670569,0.9999999999999999
2006-05-31,0.2768948871289348,-0.09659420268764106,-0.12993466741240425,0.5778438473413784,-0.030403736675674375,0.03564389386191137,0.25072093696293857,0.04820354682737038,0.013715840623745791,0.05390965402944047,0.9999999999999999
2006-06-30,0.2795980729978439,-0.26041065851820094,-0.15887880138834964,0.8124849444883138,-0.026461054127092876,0.039280024911520245,0.24985184613729766,0.005074045730307379,0.011654150329922357,0.04780742943843813,1.0
